cid,year,week,anger,disgust,joy,sad,fear,angerlw,disgustlw,joylw,sadlw,fearlw,bindex,cida,cidweek,province,provinceyear,aqi,pm25,realnum,tmin,tmax,wind,sunnyr,popw
1,2015,25,11.1111,11.1111,66.6667,11.1111,0.0,0.181818,0.727273,0.0,0.090909,0.0,24.714286,1,125,21,201521,78.57142900000002,49.171429,9,19.571429,28.714286,3.714286,0.714286,349.8
1,2015,26,16.666700000000002,0.0,50.0,16.666700000000002,16.666700000000002,0.111111,0.111111,0.666667,0.111111,0.0,16.285714000000002,1,126,21,201521,70.57142900000002,44.371429,12,19.571429,27.571429,3.571429,0.285714,349.8
1,2015,27,11.1111,66.6667,11.1111,11.1111,0.0,0.166667,0.0,0.5,0.166667,0.166667,24.428571,1,127,21,201521,70.14285699999999,42.228571,9,18.857143,28.714286,3.5,0.571429,349.8
1,2015,28,0.0,60.0,20.0,20.0,0.0,0.111111,0.666667,0.111111,0.111111,0.0,24.428571,1,128,21,201521,76.14285699999998,41.871429,5,24.0,32.857143,3.714286,0.714286,349.8
1,2015,29,25.0,0.0,25.0,50.0,0.0,0.0,0.6,0.2,0.2,0.0,16.285714000000002,1,129,21,201521,71.0,39.785714,4,23.285714,31.571429,3.5,0.428571,349.8
1,2015,30,0.0,25.0,75.0,0.0,0.0,0.25,0.0,0.25,0.5,0.0,41.857143,1,130,21,201521,61.85714300000001,43.971429,4,23.714286,30.714286,3.642857,0.0,349.8
1,2015,31,28.571400000000004,0.0,42.8571,14.285700000000002,14.285700000000002,0.0,0.25,0.75,0.0,0.0,41.285714,1,131,21,201521,49.571429,33.257143,7,22.857143,29.857143,3.642857,0.0,349.8
1,2015,32,12.5,12.5,50.0,6.25,18.75,0.285714,0.0,0.428571,0.14285699999999998,0.14285699999999998,33.428571000000005,1,132,21,201521,58.85714300000001,38.357143,16,22.428571,29.571429,3.5,0.571429,349.8
1,2015,33,26.6667,20.0,6.6667000000000005,26.6667,20.0,0.125,0.125,0.5,0.0625,0.1875,16.285714000000002,1,133,21,201521,88.714286,63.471429,15,23.428571,31.428571,3.571429,0.285714,349.8
1,2015,34,25.0,16.666700000000002,41.6667,8.333300000000001,8.333300000000001,0.266667,0.2,0.06666699999999999,0.266667,0.2,16.285714000000002,1,134,21,201521,69.14285699999999,47.9,12,18.714286,27.571429,3.5,0.428571,349.8
1,2015,35,0.0,42.8571,0.0,42.8571,14.285700000000002,0.25,0.166667,0.416667,0.083333,0.083333,24.714286,1,135,21,201521,66.285714,44.3,7,18.285714,26.571429,3.571429,0.285714,349.8
1,2015,36,14.285700000000002,28.571400000000004,35.7143,14.285700000000002,7.142900000000001,0.0,0.428571,0.0,0.428571,0.14285699999999998,33.0,1,136,21,201521,61.714286,35.0,14,16.428570999999998,27.0,3.785714,1.0,349.8
1,2015,37,8.333300000000001,16.666700000000002,33.3333,25.0,16.666700000000002,0.14285699999999998,0.285714,0.357143,0.14285699999999998,0.07142899999999999,8.142857000000001,1,137,21,201521,58.285714,32.2,12,16.428570999999998,26.0,3.857143,1.0,349.8
1,2015,38,0.0,48.7179,7.6923,7.6923,35.89740000000001,0.083333,0.166667,0.333333,0.25,0.166667,41.714286,1,138,21,201521,77.42857099999998,51.942857,39,17.571429000000002,27.0,3.857143,0.571429,349.8
1,2015,39,8.333300000000001,25.0,41.6667,0.0,25.0,0.0,0.487179,0.076923,0.076923,0.358974,32.571428999999995,1,139,21,201521,86.0,60.757143000000006,12,12.857143,22.571429,3.785714,0.571429,349.8
1,2015,40,20.0,20.0,30.0,20.0,10.0,0.083333,0.25,0.416667,0.0,0.25,41.142857,1,140,21,201521,75.0,47.828571,10,12.714286,22.428571,4.142857,0.857143,349.8
1,2015,41,12.5,37.5,25.0,25.0,0.0,0.2,0.2,0.3,0.2,0.1,73.714286,1,141,21,201521,59.428571,37.457143,8,8.714286,17.142857,3.857143,0.857143,349.8
