cid,income,year,week,anger,disgust,joy,sad,fear,angerlw,disgustlw,joylw,sadlw,fearlw,bindex,season,cida,cidweek,province,provinceyear,aqi,pm25,realnum,tmin,tmax,wind,sunnyr
1,27846.0,2017,49,8.333300000000001,25.0,50.0,16.666700000000002,0.0,0.034483,0.172414,0.37931,0.37931,0.034483,123.571429,4,1,149,21,201721,109.71428600000002,54.14285699999999,12,-8.857142999999997,-0.14285699999999998,3.642857,0.857143
1,27846.0,2017,50,10.0,20.0,30.0,40.0,0.0,0.083333,0.25,0.5,0.166667,0.0,80.0,4,1,150,21,201721,109.142857,63.571429,10,-14.571429,-6.428571,3.928571,0.857143
1,27846.0,2017,51,0.0,14.285700000000002,71.4286,14.285700000000002,0.0,0.1,0.2,0.3,0.4,0.0,70.285714,4,1,151,21,201721,69.0,43.142857,7,-6.0,1.857143,3.642857,0.857143
1,27846.0,2017,52,0.0,0.0,91.6667,8.333300000000001,0.0,0.0,0.14285699999999998,0.714286,0.14285699999999998,0.0,83.42857099999998,4,1,152,21,201721,109.142857,78.85714300000002,36,-10.571429,-2.285714,3.5,0.857143
1,27846.0,2018,1,0.0,33.3333,66.6667,0.0,0.0,0.0,0.0,0.916667,0.083333,0.0,77.57142900000002,4,1,101,21,201821,82.714286,59.714286,6,-11.142857,-3.285714,3.5,0.714286
1,27846.0,2018,2,0.0,15.3846,61.5385,23.0769,0.0,0.0,0.333333,0.666667,0.0,0.0,58.14285699999999,4,1,102,21,201821,66.0,41.857143,13,-13.142857,-3.285714,3.785714,0.714286
1,27846.0,2018,3,0.0,31.25,62.5,6.25,0.0,0.0,0.153846,0.6153850000000001,0.230769,0.0,54.428571,4,1,103,21,201821,74.57142900000002,51.285714,16,-9.714286,-0.428571,3.5,0.571429
1,27846.0,2018,4,2.5641000000000003,10.2564,64.1026,20.5128,2.5641000000000003,0.0,0.3125,0.625,0.0625,0.0,58.0,4,1,104,21,201821,77.57142900000002,51.142857,39,-19.571429,-12.428571,3.785714,0.857143
1,27846.0,2018,5,0.0,6.6667000000000005,93.3333,0.0,0.0,0.025641000000000004,0.10256400000000003,0.641026,0.20512800000000006,0.025641000000000004,57.85714300000001,4,1,105,21,201821,70.14285699999999,45.714286,30,-13.0,-4.857143,3.785714,0.714286
1,27846.0,2018,6,11.1111,0.0,77.7778,11.1111,0.0,0.0,0.06666699999999999,0.933333,0.0,0.0,34.285714,4,1,106,21,201821,80.14285699999998,52.571429,9,-13.571429,-5.0,4.071429,0.857143
1,27846.0,2018,7,50.0,0.0,50.0,0.0,0.0,0.111111,0.0,0.777778,0.111111,0.0,50.571429,4,1,107,21,201821,75.85714300000002,52.142857,2,-8.857142999999997,-0.571429,3.785714,0.714286
1,27846.0,2018,8,37.5,0.0,37.5,25.0,0.0,0.5,0.0,0.5,0.0,0.0,68.42857099999999,4,1,108,21,201821,95.428571,70.57142900000002,8,-7.285714,2.0,3.642857,0.857143
1,27846.0,2018,9,0.0,28.571400000000004,0.0,57.1429,14.285700000000002,0.375,0.0,0.375,0.25,0.0,59.714286,2,1,109,21,201821,86.57142900000002,57.285714,7,-5.142857,4.285714,4.214286,0.428571
1,27846.0,2018,10,0.0,0.0,66.6667,33.3333,0.0,0.0,0.285714,0.0,0.571429,0.14285699999999998,33.0,1,1,110,21,201821,71.714286,50.571429,3,-6.428571,2.571429,3.642857,0.857143
1,27846.0,2018,11,0.0,33.3333,50.0,16.666700000000002,0.0,0.0,0.0,0.666667,0.333333,0.0,41.857143,1,1,111,21,201821,73.85714300000002,52.571429,6,0.8,10.0,4.071429,0.714286
1,27846.0,2018,12,18.1818,9.0909,54.5455,18.1818,0.0,0.0,0.333333,0.5,0.166667,0.0,75.42857099999998,1,1,112,21,201821,101.142857,74.57142900000002,11,3.333333,12.5,3.785714,0.714286
1,27846.0,2018,13,0.0,20.0,40.0,40.0,0.0,0.181818,0.090909,0.545455,0.181818,0.0,59.0,1,1,113,21,201821,91.857143,61.0,5,9.571429,19.571429,3.928571,0.571429
1,27846.0,2018,14,0.0,7.6923,76.9231,15.3846,0.0,0.0,0.2,0.4,0.4,0.0,42.42857100000001,1,1,114,21,201821,74.42857099999998,44.571429,13,2.333333,10.666667,4.071429,0.428571
1,27846.0,2018,15,0.0,0.0,60.0,40.0,0.0,0.0,0.076923,0.769231,0.153846,0.0,66.57142900000001,1,1,115,21,201821,68.714286,34.0,5,6.428571,16.571429000000002,3.928571,0.714286
1,27846.0,2018,16,0.0,12.5,50.0,25.0,12.5,0.0,0.0,0.6,0.4,0.0,42.42857100000001,1,1,116,21,201821,80.57142900000002,44.42857100000001,8,13.142857,22.428571,4.5,0.571429
1,27846.0,2018,17,0.0,0.0,50.0,50.0,0.0,0.0,0.125,0.5,0.25,0.125,34.285714,1,1,117,21,201821,83.85714300000002,42.714286,2,12.142857,24.0,3.928571,0.571429
1,27846.0,2018,18,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.5,0.5,0.0,49.285714,1,1,118,21,201821,72.285714,37.571429,1,11.857143,23.285714,3.928571,0.428571
1,27846.0,2018,19,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,24.571429,1,1,119,21,201821,80.42857099999998,37.0,2,14.428571,24.571429,3.928571,0.714286
1,27846.0,2018,20,33.3333,0.0,66.6667,0.0,0.0,0.0,0.5,0.0,0.5,0.0,24.428571,1,1,120,21,201821,64.285714,22.571429,3,18.0,27.285714,4.357143,0.571429
1,27846.0,2018,21,0.0,18.1818,72.7273,0.0,9.0909,0.333333,0.0,0.666667,0.0,0.0,24.428571,1,1,121,21,201821,82.285714,35.142857,11,16.714285999999998,26.142857,3.928571,0.571429
1,27846.0,2018,22,0.0,0.0,0.0,0.0,0.0,0.0,0.181818,0.727273,0.0,0.090909,16.285714000000002,1,1,122,21,201821,88.57142900000002,26.857143,0,17.857143,27.857143,4.214286,0.714286
1,27846.0,2018,23,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,49.142857,2,1,123,21,201821,77.285714,31.857143,2,19.571429,27.857143,4.214286,0.285714
1,27846.0,2018,24,0.0,0.0,50.0,0.0,50.0,0.5,0.0,0.0,0.5,0.0,25.285714,2,1,124,21,201821,58.85714300000001,24.142857,2,18.571429,25.428571,3.785714,0.285714
1,27846.0,2018,25,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,41.0,2,1,125,21,201821,108.0,34.142857,4,21.714286,30.0,3.785714,0.714286
1,27846.0,2018,26,33.3333,33.3333,33.3333,0.0,0.0,0.0,0.5,0.5,0.0,0.0,33.0,2,1,126,21,201821,85.285714,24.142857,3,24.0,30.142857,3.785714,0.428571
1,27846.0,2018,27,33.3333,0.0,33.3333,0.0,33.3333,0.333333,0.333333,0.333333,0.0,0.0,8.142857000000001,2,1,127,21,201821,77.714286,31.571429,3,29.428571,22.0,3.5,0.428571
1,27846.0,2018,28,0.0,0.0,100.0,0.0,0.0,0.333333,0.0,0.333333,0.0,0.333333,24.428571,2,1,128,21,201821,36.0,11.857143,2,28.571429,22.857143,3.214286,0.0
1,27846.0,2018,29,50.0,0.0,0.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0,24.857143,2,1,129,21,201821,44.0,15.142857,2,32.142857,25.285714,3.785714,1.0
1,27846.0,2018,30,50.0,50.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,24.714286,2,1,130,21,201821,69.57142900000001,26.857143,2,32.857143,25.714286,3.642857,0.571429
1,27846.0,2018,31,100.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,16.285714000000002,2,1,131,21,201821,96.0,30.428571,1,29.857143,33.714286,3.5,0.857143
1,27846.0,2018,32,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,33.142857,2,1,132,21,201821,81.714286,29.714286,1,24.571429,32.142857,3.5,0.571429
1,27846.0,2018,33,20.0,20.0,20.0,40.0,0.0,0.0,1.0,0.0,0.0,0.0,16.285714000000002,2,1,133,21,201821,47.714286,18.285714,5,21.714286,29.285714,3.642857,0.428571
1,27846.0,2018,34,0.0,25.0,50.0,25.0,0.0,0.2,0.2,0.2,0.4,0.0,32.571428999999995,2,1,134,21,201821,53.85714300000001,28.428571,4,19.571429,26.857143,3.785714,0.14285699999999998
1,27846.0,2018,35,0.0,25.0,50.0,25.0,0.0,0.0,0.25,0.5,0.25,0.0,8.428571,2,1,135,21,201821,60.285714,33.285714,4,19.857143,27.285714,3.642857,0.571429
1,27846.0,2018,36,0.0,100.0,0.0,0.0,0.0,0.0,0.25,0.5,0.25,0.0,41.285714,3,1,136,21,201821,46.42857100000001,19.0,1,14.714285999999998,24.571429,3.785714,0.714286
1,27846.0,2018,37,0.0,0.0,50.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,16.285714000000002,3,1,137,21,201821,52.42857100000001,20.571429,2,17.0,25.428571,3.785714,0.571429
1,27846.0,2018,38,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.5,0.5,0.0,16.571429000000002,3,1,138,21,201821,64.285714,31.285714,1,14.428571,24.285714,3.928571,0.857143
1,27846.0,2018,39,0.0,0.0,25.0,75.0,0.0,0.0,0.0,0.0,1.0,0.0,16.428570999999998,3,1,139,21,201821,54.14285699999999,30.0,4,11.714286,20.857143,3.642857,0.428571
1,27846.0,2018,40,0.0,50.0,16.666700000000002,33.3333,0.0,0.0,0.0,0.25,0.75,0.0,16.714285999999998,3,1,140,21,201821,54.285714,26.571429,6,11.0,21.428571,3.785714,1.0
1,27846.0,2018,41,0.0,0.0,33.3333,66.6667,0.0,0.0,0.5,0.166667,0.333333,0.0,49.571429,3,1,141,21,201821,62.571429,35.714286,3,7.0,17.285714000000002,3.642857,0.857143
1,27846.0,2018,42,0.0,0.0,40.0,40.0,20.0,0.0,0.0,0.333333,0.666667,0.0,65.57142900000001,3,1,142,21,201821,82.14285699999998,55.714286,5,6.571428999999998,16.857143,3.5,1.0
1,27846.0,2018,43,0.0,40.0,30.0,20.0,10.0,0.0,0.0,0.4,0.4,0.2,24.714286,3,1,143,21,201821,56.14285699999999,29.571429,10,6.0,15.0,3.642857,0.571429
